ISBN,PriceDiscounted,,,,,
9780175660018,5.7,,,,,
9780175660025,5.7,,,,,
9780194529563,5.7,,,,,
9780446315005,3.42,,,,,
9780446576093,3.42,,,,,
9780446582797,3.42,,,,,
9780486280615,3.42,,,,,
9780486282114,3.42,,,,,
9780486289991,3.42,,,,,
9780486290492,3.42,,,,,
9780486292564,3.42,,,,,
9780486292731,3.42,,,,,
9780486292823,3.42,,,,,
9780486401645,3.42,,,,,
9780486406510,3.42,,,,,
9780486406633,3.42,,,,,
9780486408811,3.42,,,,,
9780486411217,3.42,,,,,
9780486415918,3.42,,,,,
9780486419237,3.42,,,,,
9780486424651,3.42,,,,,
9780486436203,3.42,,,,,
9780486436302,3.42,,,,,
9780486437002,3.42,,,,,
9780486437873,3.42,,,,,
9780486437910,3.42,,,,,
9780486440835,3.42,,,,,
9780486442877,3.42,,,,,
9780486447162,3.42,,,,,
9780486461434,3.42,,,,,
9780486461434,3.42,,,,,
9780486471396,3.42,,,,,
9780486474915,3.42,,,,,
9780486475899,3.42,,,,,
9780486496375,3.42,,,,,
9780486497396,3.42,,,,,
9780486499949,3.42,,,,,
9780486784663,3.42,,,,,
9780486791197,3.42,,,,,
9780486802480,3.42,,,,,
9780486811178,3.42,,,,,
9780486819266,3.42,,,,,
9780486821962,3.42,,,,,
9780486826615,3.42,,,,,
9780486826677,3.42,,,,,
9780486827650,3.42,,,,,
9780486827698,3.42,,,,,
9780486827759,3.42,,,,,
9780486828497,3.42,,,,,
9780486829319,3.42,,,,,
9780486831732,3.42,,,,,
9780486833019,3.42,,,,,
9780486834092,3.42,,,,,
9780553212693,3.42,,,,,
9780787980207,5.7,,,,,
9780802832634,3.42,,,,,
9780802853639,3.42,,,,,
9780802853745,3.42,,,,,
9780802854124,3.42,,,,,
9780802865526,3.42,,,,,
9780873480864,3.42,,,,,
9780873482417,3.42,,,,,
9780873484893,3.42,,,,,
9780873488136,3.42,,,,,
9780880794282,3.42,,,,,
9780880794299,3.42,,,,,
9780880794466,3.42,,,,,
9780880795098,3.42,,,,,
9780882643267,10.95,,,,,
9780911165210,10.95,,,,,
9780931888489,3.42,,,,,
9780931888700,3.42,,,,,
9780936442075,10.95,,,,,
9780940975170,3.42,,,,,
9780940975712,3.42,,,,,
9780940975743,3.42,,,,,
9780940975828,3.42,,,,,
9780944413302,10.95,,,,,
9780945320371,10.95,,,,,
9780981794105,3.42,,,,,
9780999783139,4.8,,,,,
9781118821664,4.8,,,,,
9781432306861,3.42,,,,,
9781432306878,3.42,,,,,
9781432307035,3.42,,,,,
9781432309749,3.42,,,,,
9781434987402,3.42,,,,,
9781455508211,3.42,,,,,
9781455520046,3.42,,,,,
9781455527588,3.42,,,,,
9781455527601,3.42,,,,,
9781455527717,3.42,,,,,
9781455528448,3.42,,,,,
9781455528660,3.42,,,,,
9781455528684,3.42,,,,,
9781455529933,3.42,,,,,
9781455530847,3.42,,,,,
9781455532858,3.42,,,,,
9781455544691,3.42,,,,,
9781455545551,3.42,,,,,
9781455546077,3.42,,,,,
9781455546114,3.42,,,,,
9781455546145,3.42,,,,,
9781455546169,3.42,,,,,
9781455546176,3.42,,,,,
9781455546206,3.42,,,,,
9781455546220,3.42,,,,,
9781455546923,3.42,,,,,
9781455546978,3.42,,,,,
9781455551859,3.42,,,,,
9781455552191,3.42,,,,,
9781455552511,3.42,,,,,
9781455552627,3.42,,,,,
9781455557165,3.42,,,,,
9781455557196,3.42,,,,,
9781455558063,3.42,,,,,
9781455560325,3.42,,,,,
9781455561025,3.42,,,,,
9781455561032,3.42,,,,,
9781455561186,3.42,,,,,
9781455573226,3.42,,,,,
9781455573783,3.42,,,,,
9781455574223,3.42,,,,,
9781455574247,3.42,,,,,
9781455574445,3.42,,,,,
9781455575480,3.42,,,,,
9781455581641,3.42,,,,,
9781455582099,3.42,,,,,
9781455582129,3.42,,,,,
9781455582860,3.42,,,,,
9781455583812,3.42,,,,,
9781455584260,3.42,,,,,
9781455585977,3.42,,,,,
9781455585984,3.42,,,,,
9781455585991,3.42,,,,,
9781455587995,3.42,,,,,
9781455599257,3.42,,,,,
9781455599592,3.42,,,,,
9781497427099,5.7,,,,,
9781497554498,5.7,,,,,
9781499289848,5.7,,,,,
9781506702964,3.42,,,,,
9781512224177,5.7,,,,,
9781515054733,5.7,,,,,
9781515075608,5.7,,,,,
9781515085188,5.7,,,,,
9781545486832,5.7,,,,,
9781556242885,10.95,,,,,
9781563832741,3.42,,,,,
9781572810198,3.42,,,,,
9781572810969,3.42,,,,,
9781572812932,3.42,,,,,
9781572813595,3.42,,,,,
9781572813601,3.42,,,,,
9781572813748,3.42,,,,,
9781572813786,3.42,,,,,
9781572814455,3.42,,,,,
9781572814462,3.42,,,,,
9781572814479,3.42,,,,,
9781572814486,3.42,,,,,
9781572814509,3.42,,,,,
9781572814554,3.42,,,,,
9781572815445,3.42,,,,,
9781572816381,3.42,,,,,
9781572817777,3.42,,,,,
9781574869316,3.42,,,,,
9781585100576,5.7,,,,,
9781587313967,3.42,,,,,
9781601061430,3.42,,,,,
9781601061454,3.42,,,,,
9781601061485,3.42,,,,,
9781601061874,3.42,,,,,
9781601063045,3.42,,,,,
9781601063380,3.42,,,,,
9781601064677,3.42,,,,,
9781601066510,3.42,,,,,
9781601067739,3.42,,,,,
9781601069641,3.42,,,,,
9781601069665,3.42,,,,,
9781601069993,3.42,,,,,
9781603490139,3.42,,,,,
9781603490153,3.42,,,,,
9781609420673,5.7,,,,,
9781683490272,3.42,,,,,
9781683491446,3.42,,,,,
9781683491453,3.42,,,,,
9781890504366,3.42,,,,,
9781892061850,4.8,,,,,
9781894925020,3.42,,,,,
9781894946346,3.42,,,,,
9781934620939,3.42,,,,,
9781936367283,3.42,,,,,
9781939202291,3.42,,,,,
9781940398624,3.42,,,,,
9781940398648,3.42,,,,,
9781945509001,3.42,,,,,
9781945509315,3.42,,,,,
9781974356768,5.7,,,,,
9782080203540,3.42,,,,,
9782080203557,3.42,,,,,
9783525335901,5.7,,,,,
9783825214524,4.8,,,,,
9788490368442,4.8,,,,,
9789211012897,5.7,,,,,
9789211012941,5.7,,,,,
9781404868496,3.48,,,,,
9781404868502,3.48,,,,,
9781404868519,3.48,,,,,
9781404868526,3.48,,,,,
9781434208668,3.48,,,,,
9781434208682,3.48,,,,,
9781434217585,3.48,,,,,
9781434222534,3.48,,,,,
9781434234179,3.48,,,,,
9781434242266,3.48,,,,,
9781434242273,3.48,,,,,
9781434242587,3.48,,,,,
9781434242594,3.48,,,,,
9781434242600,3.48,,,,,
9781434242617,3.48,,,,,
9781434246080,3.48,,,,,
9781434246097,3.48,,,,,
9781434246103,3.48,,,,,
9781434246110,3.48,,,,,
9781434246134,3.48,,,,,
9781496543493,3.48,,,,,
9781496543509,3.48,,,,,
9781496543516,3.48,,,,,
9781496543523,3.48,,,,,
9781496550620,3.48,,,,,
9781496550637,3.48,,,,,
9781598898798,3.48,,,,,
9781598898804,3.48,,,,,
9781468122176,5.8,,,,,
9781434242099,3.51,,,,,
9781434242105,3.51,,,,,
9781434242112,3.51,,,,,
9781434242129,3.51,,,,,
9781434262158,3.51,,,,,
9781434262165,3.51,,,,,
9781434262172,3.51,,,,,
9781500501303,5.84,,,,,
9780153669620,5.58,,,,,
9780838876350,3.53,,,,,
9781986425216,5.89,,,,,
9780373213825,3.56,,,,,
9780373213832,3.56,,,,,
9780373213849,3.56,,,,,
9780373213856,3.56,,,,,
9780373213863,3.56,,,,,
9780373213870,3.56,,,,,
9780373213887,3.56,,,,,
9780373213894,3.56,,,,,
9780373215188,3.56,,,,,
9780373215201,3.56,,,,,
9780373215218,3.56,,,,,
9780373297030,3.56,,,,,
9780373297184,3.56,,,,,
9780373744381,3.56,,,,,
9780373744404,3.56,,,,,
9780373744411,3.56,,,,,
9780373744435,3.56,,,,,
9780373862832,3.56,,,,,
9780373862924,3.56,,,,,
9780618257546,5.94,,,,,
9781335135070,3.56,,,,,
9781335135087,3.56,,,,,
9781335135094,3.56,,,,,
9781335135100,3.56,,,,,
9781335135117,3.56,,,,,
9781335135124,3.56,,,,,
9781335135131,3.56,,,,,
9781335135148,3.56,,,,,
9781335135155,3.56,,,,,
9781335135162,3.56,,,,,
9781335135179,3.56,,,,,
9781335135186,3.56,,,,,
9781335135247,3.56,,,,,
9781335135261,3.56,,,,,
9781335135308,3.56,,,,,
9781335135384,3.56,,,,,
9781335504074,,,,,,
9781335504074,,,,,,
9781335504074,3.56,,,,,
9781335504234,3.56,,,,,
9781335504234,3.56,,,,,
9781335504241,3.56,,,,,
9781335504241,3.56,,,,,
9781335504241,3.56,,,,,
9781335504265,3.56,,,,,
9781335504265,3.56,,,,,
9781335504296,3.56,,,,,
9781335504296,3.56,,,,,
9781335504296,3.56,,,,,
9781335504401,3.56,,,,,
9781335504401,3.56,,,,,
9781335504401,3.56,,,,,
9781335504401,3.56,,,,,
9781335504401,3.56,,,,,
